SMILES1,SMILES2
C[N+]1(CC(=O)O)CCCCC1,O=c1c(O)c(O)c1=O
C[N+]1(CC(=O)O)CCCCC1,O=C(O)c1ccc(O)cc1
C[N+]1(CC(=O)O)CCOCC1,O=C(O)c1ccc(O)cc1
C[n+]1cccc(C(=O)O)c1,O=c1c(O)c(O)c1=O
C=CCn1c(=C(C#N)C#N)c2ccccc2c1=C(C#N)C#N,C1=CSC(=C2SC=CS2)S1
c1c[nH]c(-c2ncc[nH]2)n1,O=C(O)CCC(=O)O
c1cc(-c2ccncc2)c2c(-c3ccncc3)cccc2c1,O=C(O)C=CC(=O)O
C(#Cc1ccncc1)c1ccncc1,O=C1C=C(O)C(=O)C=C1O
C(#Cc1ccncc1)c1ccncc1,C#Cc1ccc(C#C)cc1
c1cc(-c2ccc(-c3ccncc3)c3nsnc23)ccn1,O=c1[nH]c(=O)[nH]c(=O)[nH]1
c1cc(-c2ccncc2)ccn1,Nc1n[nH]c(=S)[nH]1
c1cc(-c2ccncc2)ccn1,O=C(O)c1ccc(O)cc1
c1cc(-c2ccncc2)ccn1,O=C(O)C=CC(=O)O
c1cc(-c2ccncc2)ccn1,O=C(O)CCC(=O)O
c1cc(-c2ccncc2)ccn1,O=C(O)CCl
c1cc(-c2ccncc2)ccn1,O=C(O)c1ccc(O)cc1O
c1cc(-c2ccncc2)ccn1,N#CCC(=O)O
c1cc(-c2ccncc2)ccn1,NC(N)=O
c1cc(-c2ccncc2)ccn1,Nc1ccccc1C(=O)O
c1cc(-c2ccncc2)ccn1,Cc1ccc(C(=O)O)cc1
c1cc(-c2ccncc2)ccn1,Nc1n[nH]c(=S)s1
c1cc(-c2ccncc2)ccn1,Oc1ccc(O)cc1
c1cc(-c2ccncc2)ccn1,O=C1C=C(O)C(=O)C=C1O
c1cc(-c2ccncc2)ccn1,C#Cc1ccc(C#C)cc1
c1cc(-c2ccncc2)ccn1,CC(=NO)C(C)=NO
c1cc(-c2ccncc2)ccn1,O=C(O)CC(=O)O
c1cc(-c2ccncc2)ccn1,O=C(O)CSCC(=O)O
c1cc(-c2ccncc2)ccn1,Nc1cccc(C(=O)O)c1
c1cc(-c2ccncc2)ccn1,Nc1ccc(C(=O)O)cc1
c1cc(-c2ccncc2)ccn1,O=c1[nH]c(=O)[nH]c(=O)[nH]1
c1cc(-c2ccncc2)ccn1,Cn1c(=O)[nH]c(=O)[nH]c1=O
c1cc(-c2ccncc2)ccn1,O=C(O)c1cccs1
c1cc(-c2ccncc2)ccn1,O=C(O)C=CC=CC(=O)O
c1cc(-c2cncnc2)ccn1,Oc1cccc(O)c1
c1cc(-c2cncnc2)ccn1,Oc1ccc(O)cc1
c1cc(N=Nc2ccncc2)ccn1,O=C(O)CCC(=O)O
c1cc(N=Nc2ccncc2)ccn1,O=C(O)C1CCCCC1C(=O)O
c1cc(N=Nc2ccncc2)ccn1,O=C(O)CCCCCCC(=O)O
C1=CSC(=C2SC3=C(CCC3)S2)S1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1
C1CC2=C(C1)SC(=C1SC3=C(CCC3)S1)S2,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1
c1cc2c(ccc3sc4ccc5sccc5c4c32)s1,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
c1cc2c3ccsc3c3c4sccc4c4ccsc4c3c2s1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1
c1cc2ccc3cccc4ccc(c1)c2c34,O=C1C(Cl)=CC(=C2C=C(Cl)C(=O)C(Cl)=C2)C=C1Cl
c1cc2ccc3cccc4ccc(c1)c2c34,CCOC1=C(OCC)C(=O)C(=C(C#N)C#N)C1=O
c1cc2ccc3cccc4ccc(c1)c2c34,N#Cc1nc(C#N)c(C#N)nc1C#N
c1cc2ccc3cccc4ccc(c1)c2c34,O=c1ccc(=O)c2c(=O)ccc(=O)c1=2
c1cc2ccc3cccc4ccc(c1)c2c34,O=C1C=CC(=O)C(Cl)=C1
c1cc2ccc3cccc4ccc(c1)c2c34,Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F
c1cc2ccc3cccc4ccc(c1)c2c34,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
